studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date,close_date,mov_budget,mov_exp,mov_ext,mov_cat
WB,Lights Out,148868835,67268835,81600000,81,4900000,PG-13,2835,70,2016-07-22,2016-09-30,H,M,L,HML
UN,Jason Bourne,415484914,162434410,253050504,142,120000000,PG-13,4039,147,2016-07-29,2016-12-23,M,H,M,MHM
BV,The Light Between Oceans,25975621,12545979,13429642,152,20000000,PG-13,1500,63,2016-08-02,2016-10-04,N,L,L,NLL
WB,Suicide Squad,746846894,325100054,421746840,130,175000000,PG-13,4255,98,2016-08-05,2016-11-11,M,H,L,MHL
BV,Pete's Dragon,143695338,76233151,67462187,102,65000000,PG,3702,126,2016-08-12,2016-12-16,L,H,M,LHM
SO,Sausage Party,140705322,97685686,43019636,89,19000000,R,3135,133,2016-08-12,2016-12-23,M,M,M,MMM
PT,Florence Foster Jenkins,48902953,27383770,21519183,110,29000000,PG-13,1528,77,2016-08-12,2016-10-28,N,M,L,NML
PT,Ben-Hur (2016),94061311,26410477,67650834,123,100000000,PG-13,3084,49,2016-08-19,2016-10-07,N,M,L,NML
WB,War Dogs,86234523,43034523,43200000,114,50000000,R,3258,63,2016-08-19,2016-10-21,N,M,L,NML
SO,Don't Breathe,157100845,89217875,67882970,88,9900000,R,3384,119,2016-08-26,2016-12-23,H,M,M,HMM
FX,Morgan,8810591,3915251,4895340,92,8000000,R,2020,35,2016-09-02,2016-10-07,N,M,L,NML
WB,Sully,240797623,125070033,115727590,96,60000000,PG-13,3955,140,2016-09-09,2017-01-27,L,H,M,LHM
SO,When the Bough Breaks,30658387,29747603,910784,107,10000000,PG-13,2246,70,2016-09-09,2016-11-18,N,M,L,NML
UN,Bridget Jones's Baby,211952420,24252420,187700000,122,35000000,R,2930,91,2016-09-16,2016-12-16,H,M,L,HML
WB,Storks,183388953,72679278,110709675,89,70000000,PG,3922,112,2016-09-23,2017-01-13,L,H,M,LHM
SO,The Magnificent Seven (2016),162360636,93432655,68927981,133,90000000,PG-13,3696,105,2016-09-23,2017-01-06,N,H,M,NHM
BV,Queen of Katwe,10367161,8874389,1492772,144,15000000,PG,1259,105,2016-09-23,2017-01-06,N,L,M,NLM
FX,Miss Peregrine's Home for Peculiar Children,296485719,87242834,209242885,147,110000000,PG-13,3835,113,2016-09-30,2017-01-21,L,H,M,LHM
UN,The Girl on the Train (2016),173185859,75395035,97790824,112,45000000,R,3241,84,2016-10-07,2016-12-30,M,M,L,MML
WB,The Accountant,155160045,86260045,68900000,148,44000000,R,3402,91,2016-10-14,2017-01-13,L,M,L,LML
PT,Jack Reacher: Never Go Back,162146076,58697076,103449000,118,60000000,PG-13,3780,84,2016-10-21,2017-01-13,L,H,L,LHL
UN,Ouija: Origin of Evil,81705746,35144505,46561241,99,9000000,PG-13,3168,70,2016-10-21,2016-12-30,H,M,L,HML
FX,Keeping Up with the Joneses,29918745,14904426,15014319,101,40000000,PG-13,3022,70,2016-10-21,2016-12-30,N,M,L,NML
SO,Inferno (2016),220021259,34343574,185677685,121,75000000,PG-13,3576,84,2016-10-28,2017-01-20,M,H,L,MHL
BV,Doctor Strange,677718395,232641920,445076475,135,165000000,PG-13,3882,133,2016-11-04,2017-03-17,M,H,M,MHM
FX,Trolls,346864462,153707064,193157398,94,125000000,PG,4066,147,2016-11-04,2017-03-31,L,H,M,LHM
PT,Arrival,203388186,100546139,102842047,116,47000000,PG-13,3115,119,2016-11-11,2017-03-10,M,M,M,MMM
UN,Almost Christmas,42580920,42158780,422140,112,17000000,PG-13,2379,63,2016-11-11,2017-01-13,N,M,L,NML
WB,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,160,180000000,PG-13,4144,133,2016-11-18,2017-03-31,M,H,M,MHM
BV,Moana,643331111,248757044,394574067,103,150000000,PG,3875,156,2016-11-23,2017-04-28,M,H,M,MHM
PT,Allied,119520023,40098064,79421959,121,85000000,R,3160,65,2016-11-23,2017-01-27,N,M,L,NML
FX,Rules Don't Apply,3885342,3652206,233136,146,25000000,PG-13,2386,30,2016-11-23,2016-12-23,N,M,L,NML
PT,Office Christmas Party,114501299,54767494,59733805,105,45000000,R,3210,49,2016-12-09,2017-01-27,L,M,L,LML
PT,13 Hours: The Secret Soldiers of Benghazi,69411370,52853219,16558151,144,50000000,R,2917,70,2016-12-15,2017-02-23,N,M,L,NML
BV,Rogue One: A Star Wars Story,1056057273,532177324,523879949,153,200000000,PG-13,4157,140,2016-12-16,2017-05-05,M,H,M,MHM
WB,Collateral Beauty,88528280,31016021,57512259,94,36000000,PG-13,3028,56,2016-12-16,2017-02-10,L,M,L,LML
PT,Fences,64414761,57682904,6731857,138,24000000,PG-13,2368,105,2016-12-16,2017-03-31,N,M,M,NMM
UN,Sing,634151679,270395425,363756254,130,75000000,PG,4029,142,2016-12-21,2017-05-12,M,H,M,MHM
SO,Passengers,303144152,100014699,203129453,116,110000000,PG-13,3478,121,2016-12-21,2017-04-21,L,M,M,LMM
FX,Assassin's Creed,240942515,54647948,186294567,160,125000000,PG-13,2996,79,2016-12-21,2017-03-10,L,M,L,LML
FX,Why Him?,118102725,60323786,57778939,111,38000000,R,3008,91,2016-12-23,2017-03-24,L,M,L,LML
SO,Underworld: Blood Wars,81093313,30353973,50739340,91,35000000,R,3070,62,2017-01-06,2017-03-09,L,M,L,LML
PT,Monster Trucks,64493915,33370166,31123749,104,125000000,PG,3119,63,2017-01-13,2017-03-17,N,M,L,NML
PT,xXx: The Return of Xander Cage,346147658,44898413,301249245,107,85000000,PG-13,3651,56,2017-01-20,2017-03-17,M,H,L,MHL
UN,Split,278454358,138291365,140162993,117,9000000,PG-13,3373,112,2017-01-20,2017-05-12,H,M,M,HMM
SO,Resident Evil: Final Chapter,312242626,26830068,285412558,106,40000000,R,3104,63,2017-01-27,2017-03-31,H,M,L,HML
UN,A Dog's Purpose,196386854,64508620,131878234,140,22000000,PG,3178,112,2017-01-27,2017-05-19,H,M,M,HMM
PT,Rings,83080890,27793018,55287872,102,25000000,PG-13,2931,49,2017-02-03,2017-03-24,M,M,L,MML
UN,Fifty Shades Darker,381128783,114581250,266547533,135,55000000,R,3714,56,2017-02-10,2017-04-07,M,H,L,MHL
WB,The LEGO Batman Movie,311950384,175750384,136200000,104,80000000,PG,4088,119,2017-02-10,2017-06-09,L,H,M,LHM
UN,The Great Wall,334933831,45540830,289393001,104,150000000,PG-13,3328,105,2017-02-17,2017-06-02,L,M,M,LMM
WB,Fist Fight,41087017,32187017,8900000,101,25000000,R,3185,56,2017-02-17,2017-04-14,N,M,L,NML
FX,A Cure for Wellness,26620002,8106986,18513016,166,40000000,R,2704,35,2017-02-17,2017-03-24,N,M,L,NML
UN,Get Out,255017329,176040665,78976664,103,4500000,R,3143,294,2017-02-24,2017-12-15,H,M,H,HMH
FX,Logan,619021436,226277068,392744368,155,97000000,R,4071,133,2017-03-03,2017-07-14,M,H,M,MHM
WB,Kong: Skull Island,566652812,168052812,398600000,138,185000000,PG-13,3846,98,2017-03-10,2017-06-16,M,H,L,MHL
BV,Beauty and The Beast (2017),1263521126,504014165,759506961,149,160000000,PG,4210,119,2017-03-17,2017-07-14,M,H,M,MHM
SO,Life (2017),100541806,30234022,70307784,103,58000000,R,3146,70,2017-03-24,2017-06-02,L,M,L,LML
WB,CHiPs,26800152,18600152,8200000,100,25000000,R,2464,63,2017-03-24,2017-05-26,N,M,L,NML
FX,The Boss Baby,527965936,175003033,352962903,97,125000000,PG,3829,224,2017-03-31,2017-11-10,M,H,H,MHH
PT,Ghost in the Shell (2017),169801921,40563557,129238364,120,110000000,PG-13,3440,56,2017-03-31,2017-05-26,L,M,L,LML
SO,Smurfs: The Lost Village,197183546,45020282,152163264,81,60000000,PG,3610,119,2017-04-07,2017-08-04,M,H,M,MHM
WB,Going in Style (2017),84918541,45018541,39900000,96,25000000,PG-13,3076,98,2017-04-07,2017-07-14,L,M,L,LML
UN,The Fate of the Furious,1236005118,226008385,1009996733,136,250000000,PG-13,4329,119,2017-04-14,2017-08-11,M,H,M,MHM
BV,Born in China,25081168,13873211,11207957,76,25000000,G,1508,77,2017-04-21,2017-07-07,N,M,L,NML
BV,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,157,200000000,PG-13,4347,140,2017-05-05,2017-09-22,M,H,M,MHM
WB,King Arthur: Legend of the Sword,148675066,39175066,109500000,146,175000000,PG-13,3702,70,2017-05-12,2017-07-21,N,H,L,NHL
FX,Snatched,60845711,45852178,14993533,91,42000000,R,3511,84,2017-05-12,2017-08-04,N,H,L,NHL
FX,Alien: Covenant,240891763,74262031,166629732,142,97000000,R,3772,105,2017-05-19,2017-09-01,L,H,M,LHM
WB,"Everything, Everything",61621140,34121140,27500000,96,10000000,PG-13,2801,70,2017-05-19,2017-07-28,M,M,L,MML
FX,Diary of a Wimpy Kid: The Long Haul,40140972,20738724,19402248,90,22000000,PG,3174,91,2017-05-19,2017-08-18,N,M,L,NML
PT,Baywatch,177856751,58060186,119796565,116,69000000,R,3647,64,2017-05-25,2017-07-28,L,H,L,LHL
BV,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,149,230000000,PG-13,4276,119,2017-05-26,2017-09-22,M,H,M,MHM
WB,Wonder Woman,821847012,412563408,409283604,161,149000000,PG-13,4165,161,2017-06-02,2017-11-10,M,H,M,MHM
FX,Captain Underpants: The First Epic Movie,125506758,73921000,51585758,89,38000000,PG,3529,161,2017-06-02,2017-11-10,L,H,M,LHM
UN,The Mummy (2017),409231607,80227895,329003712,127,125000000,PG-13,4035,77,2017-06-09,2017-08-25,M,H,L,MHL
BV,Cars 3,383924982,152901115,231023867,102,175000000,G,4256,140,2017-06-16,2017-11-03,L,H,M,LHM
SO,Rough Night,47347283,22105643,25241640,101,20000000,R,3162,77,2017-06-16,2017-09-01,L,M,L,LML
PT,Transformers: The Last Knight,605425157,130168683,475256474,149,217000000,PG-13,4132,65,2017-06-21,2017-08-25,M,H,L,MHL
SO,Baby Driver,226945087,107825862,119119225,112,34000000,R,3226,114,2017-06-28,2017-10-20,M,M,M,MMM
UN,Despicable Me 3,1034799409,264624300,770175109,90,80000000,PG,4535,175,2017-06-30,2017-12-22,H,H,M,HHM
WB,The House,34184504,25584504,8600000,88,40000000,R,3134,63,2017-06-30,2017-09-01,N,M,L,NML
SO,Spider-Man: Homecoming,880166924,334201140,545965784,133,175000000,PG-13,4348,147,2017-07-07,2017-12-01,M,H,M,MHM
FX,War for the Planet of the Apes,490719763,146880162,343839601,160,150000000,PG-13,4100,140,2017-07-14,2017-12-01,M,H,M,MHM
WB,Dunkirk,527268280,190068280,337200000,106,100000000,PG-13,4014,126,2017-07-21,2017-11-24,M,H,M,MHM
UN,Girls Trip,140073354,115171585,24901769,142,19000000,R,2648,91,2017-07-21,2017-10-20,L,M,L,LML
PT,Star Trek Beyond,343471816,158848340,184623476,120,185000000,PG-13,3928,91,2017-07-22,2017-10-21,N,H,L,NHL
SO,The Emoji Movie,217776646,86089513,131687133,86,50000000,PG,4075,126,2017-07-28,2017-12-01,M,H,M,MHM
SO,The Dark Tower,113231078,50701325,62529753,95,60000000,PG-13,3451,77,2017-08-04,2017-10-20,L,M,L,LML
WB,It,700381748,327481748,372900000,155,35000000,R,4148,98,2017-08-08,2017-11-14,H,H,L,HHL
WB,Annabelle: Creation,306515884,102092201,204423683,129,15000000,R,3565,84,2017-08-11,2017-11-03,H,H,L,HHL
WB,The LEGO Ninjago Movie,123081555,59281555,63800000,101,70000000,PG,4047,70,2017-08-22,2017-10-31,N,H,L,NHL
PT,mother!,44516999,17800004,26716995,121,30000000,R,2368,42,2017-09-15,2017-10-27,N,M,L,NML
FX,Kingsman: The Golden Circle,410902662,100234838,310667824,161,104000000,R,4038,105,2017-09-22,2018-01-05,M,H,M,MHM
UN,American Made,134866593,51342000,83524593,115,50000000,R,3098,77,2017-09-29,2017-12-15,L,M,L,LML
SO,Flatliners (2017),45158254,16883115,28275139,108,19000000,PG-13,2552,56,2017-09-29,2017-11-24,L,M,L,LML
WB,Blade Runner 2049,259239658,92054159,167185499,163,150000000,R,4058,119,2017-10-06,2018-02-02,L,H,M,LHM
FX,The Mountain Between Us,62832209,30348555,32483654,103,35000000,PG-13,3259,77,2017-10-06,2017-12-22,N,M,L,NML
PT,Daddy's Home 2,180613180,104029443,76583737,100,69000000,PG-13,3575,98,2017-10-10,2018-01-16,L,H,L,LHL
UN,Happy Death Day,122637878,55683845,66954033,96,4800000,PG-13,3535,63,2017-10-13,2017-12-15,H,H,L,HHL
WB,Geostorm,221600160,33700160,187900000,109,120000000,PG-13,3246,84,2017-10-20,2018-01-12,L,M,L,LML
UN,The Snowman,43084060,6700035,36384025,119,35000000,R,1815,35,2017-10-20,2017-11-24,L,M,L,LML
SO,Only the Brave,23482206,18343983,5138223,123,38000000,PG-13,2577,105,2017-10-20,2018-02-02,N,M,M,NMM
UN,Thank You for Your Service (2017),9536300,9536300,0,128,20000000,R,2083,35,2017-10-27,2017-12-01,N,M,L,NML
BV,Thor: Ragnarok,853977126,315058289,538918837,150,180000000,PG-13,4080,133,2017-11-03,2018-03-16,M,H,M,MHM
FX,Murder on the Orient Express,351715237,102826543,248888694,114,55000000,PG-13,3354,112,2017-11-10,2018-03-02,M,M,M,MMM
WB,Justice League,657924295,229024295,428900000,119,300000000,PG-13,4051,119,2017-11-17,2018-03-16,L,H,M,LHM
SO,The Star,62812974,40852824,21960150,86,20000000,PG,2976,91,2017-11-17,2018-02-16,L,M,L,LML
BV,Coco,797732662,209718774,588013888,109,185000000,PG,3987,152,2017-11-22,2018-04-23,M,H,M,MHM
SO,"Roman J. Israel, Esq.",12302517,11962778,339739,129,22000000,PG-13,1669,98,2017-11-27,2018-03-05,N,M,L,NML
BV,Star Wars: The Last Jedi,1332757449,620181382,712576067,171,200000000,PG-13,4232,126,2017-12-15,2018-04-20,M,H,M,MHM
FX,Ferdinand,294556903,84322735,210234168,107,111000000,PG,3630,129,2017-12-15,2018-04-23,L,H,M,LHM
SO,Jumanji: Welcome to the Jungle,956618644,404134301,552484343,119,90000000,PG-13,3849,124,2017-12-20,2018-04-23,H,H,M,HHM
FX,The Greatest Showman,427690275,173524478,254165797,105,84000000,PG,3342,124,2017-12-20,2018-04-23,M,M,M,MMM
UN,Pitch Perfect 3,183897530,104897530,79000000,96,45000000,PG-13,3468,77,2017-12-22,2018-03-09,L,M,L,LML
FX,The Post,174466835,81866835,92600000,115,50000000,PG-13,2851,122,2017-12-22,2018-04-23,L,M,M,LMM
PT,Downsizing,55003890,24449754,30554136,135,68000000,R,2668,42,2017-12-22,2018-02-02,N,M,L,NML
WB,Father Figures,25601244,17501244,8100000,113,25000000,R,2902,56,2017-12-22,2018-02-16,N,M,L,NML
SO,All the Money in the World,53913707,25113707,28800000,132,50000000,R,2123,88,2017-12-25,2018-03-23,N,M,L,NML
UN,Insidious: The Last Key,166831020,67347895,99483125,103,10000000,PG-13,3150,56,2018-01-05,2018-03-02,H,M,L,HML
WB,Paddington 2,224353866,40442052,183911814,103,40000000,PG,3702,63,2018-01-12,2018-03-16,M,H,L,MHL
FX,Maze Runner: The Death Cure,284803018,58018509,226784509,162,62000000,PG-13,3793,87,2018-01-26,2018-04-23,M,H,L,MHL
SO,Proud Mary,21753365,20877013,876352,88,14000000,R,2125,56,2018-01-28,2018-03-25,N,M,L,NML
WB,12 Strong,62891735,45500164,17391571,149,35000000,R,3018,70,2018-01-29,2018-04-09,N,M,L,NML
SO,A Fantastic Woman,1970615,1970615,0,104,0,R,190,80,2018-02-02,2018-04-23,N,L,L,NLL
UN,Fifty Shades Freed,368307760,100407760,267900000,105,55000000,R,3768,56,2018-02-09,2018-04-06,M,H,L,MHL
SO,Peter Rabbit,310609917,114276056,196333861,93,50000000,PG,3725,73,2018-02-09,2018-04-23,M,H,L,MHL
WB,The 15:17 to Paris,56350957,36250957,20100000,94,30000000,PG-13,3042,63,2018-02-09,2018-04-13,N,M,L,NML
SO,Pad Man,17837157,1670192,16166965,124,0,PG-13,152,28,2018-02-09,2018-03-09,N,L,L,NLL
BV,Black Panther,1324656634,681374736,643281898,140,200000000,PG-13,4084,66,2018-02-16,2018-04-23,M,H,L,MHL
WB,Game Night,108705293,68205293,40500000,100,37000000,R,3502,59,2018-02-23,2018-04-23,L,H,L,LHL
PT,Annihilation,32732301,32732301,0,135,40000000,R,2112,56,2018-02-23,2018-04-20,N,M,L,NML
FX,Red Sparrow,145083182,46644711,98438471,159,69000000,R,3064,52,2018-03-02,2018-04-23,L,M,L,LML
BV,A Wrinkle in Time,124256336,93718321,30538015,115,100000000,PG,3980,45,2018-03-09,2018-04-23,N,H,L,NHL
WB,Tomb Raider,269300036,56700036,212600000,118,94000000,PG-13,3854,38,2018-03-16,2018-04-23,M,H,L,MHL
FX,"Love, Simon",53267098,40213391,13053707,109,17000000,PG-13,2434,38,2018-03-16,2018-04-23,N,M,L,NML
UN,Pacific Rim Uprising,286415635,58715635,227700000,111,150000000,PG-13,3708,32,2018-03-23,2018-04-24,L,H,L,LHL
PT,Sherlock Gnomes,57763745,39663745,18100000,86,59000000,PG,3662,32,2018-03-23,2018-04-24,N,H,L,NHL
SO,Paul Apostle of Christ,18386550,17011816,1374734,107,5000000,PG-13,1473,31,2018-03-23,2018-04-23,N,L,L,NLL
WB,Ready Player One,521900064,126100064,395800000,160,175000000,PG-13,4234,25,2018-03-29,2018-04-23,M,H,L,MHL
PT,A Quiet Place,207583628,132783628,74800000,95,17000000,PG-13,3808,18,2018-04-06,2018-04-24,M,H,L,MHL
UN,Blockers,68029515,48629515,19400000,102,21000000,R,3418,18,2018-04-06,2018-04-24,N,M,L,NML
WB,Rampage,283294360,65694360,217600000,107,120000000,PG-13,4115,10,2018-04-13,2018-04-23,L,H,L,LHL
UN,Truth or Dare,38635360,30735360,7900000,100,3500000,PG-13,3068,11,2018-04-13,2018-04-24,M,M,L,MML
