Day,BOLETOS
03/04/2016,2.903751379
02/01/2017,1.671031793
08/08/2017,1.067558326
23/04/2016,2.028573936
07/02/2017,0.610725741
16/08/2017,1.57254379
12/04/2016,0.42167627
10/01/2017,0.739784722
17/08/2017,1.344664088
02/05/2016,1.394284844
12/01/2017,0.556541519
09/08/2017,1.379752865
31/03/2016,1.349795133
22/01/2017,2.284692324
29/08/2017,0.463556423
24/04/2016,2.598191643
09/02/2017,0.592912241
30/08/2017,0.641975204
22/04/2016,1.040082936
21/12/2016,1.747658218
07/08/2017,0.810128635
28/04/2016,1.385546085
13/12/2016,0.478457002
28/08/2017,0.361499849
07/05/2016,2.177801543
06/12/2016,0.559154339
18/08/2017,1.901739604
04/05/2016,1.608832964
29/12/2016,1.842750532
20/09/2017,0.700514127
03/05/2016,1.184313238
22/12/2016,1.071899979
20/08/2017,2.833776066
25/04/2016,0.220299897
01/01/2017,2.654032934
15/08/2017,1.083946353
27/04/2016,0.61454222
19/01/2017,0.454367515
14/08/2017,0.787161257
09/05/2016,0.329376183
25/12/2016,2.628465784
06/09/2017,0.498824607
18/06/2016,2.021214981
14/01/2017,2.003160098
21/08/2017,0.706121416
26/04/2016,0.373073242
31/12/2016,0.22891144
22/08/2017,0.776086943
10/06/2016,2.028945798
04/01/2017,1.397765343
23/08/2017,0.916719316
12/05/2016,0.378152095
28/01/2017,2.306645235
04/09/2017,0.296518579
05/05/2016,1.353797543
29/01/2017,2.774783733
05/09/2017,0.286360872
08/05/2016,2.529008983
26/01/2017,0.514736391
19/09/2017,0.429074369
10/05/2016,1.174641562
11/01/2017,0.993737176
18/09/2017,0.926726974
11/05/2016,0.547473303
18/01/2017,0.757347051
12/09/2017,0.227300038
13/05/2016,1.551223697
15/01/2017,2.360943625
11/09/2017,0.175408966
06/05/2016,1.486712147
13/01/2017,1.076659161
03/10/2017,0.405255623
28/05/2016,2.553238734
15/03/2017,0.930983816
25/09/2017,0.423816108
14/05/2016,2.408466949
30/01/2017,0.597002724
04/10/2017,0.54211066
11/06/2016,3.003276681
23/12/2016,1.203040083
26/09/2017,0.473746749
15/05/2016,2.837285923
26/12/2016,2.304006319
27/09/2017,0.622517683
19/05/2016,1.150943508
08/01/2017,2.75870559
02/10/2017,0.365789311
18/05/2016,1.162337493
27/01/2017,1.574455292
09/10/2017,0.231716716
17/05/2016,0.763596943
24/12/2016,9.63E-07
11/10/2017,0.446046285
20/05/2016,2.036294968
09/01/2017,0.579645898
06/11/2017,1.580104986
16/05/2016,0.717557806
17/01/2017,0.556179443
05/11/2017,5.127535644
25/05/2016,1.243400168
10/02/2017,1.758468314
18/10/2017,0.416457153
24/05/2016,0.950809937
03/01/2017,1.413138905
10/10/2017,0.262251813
26/06/2016,3.006362484
30/12/2016,1.853661749
05/06/2016,2.699393586
06/02/2017,2.84878429
18/11/2017,3.107084921
26/05/2016,0.607330052
16/01/2017,0.437340145
23/05/2016,0.778745431
06/01/2017,1.235656303
10/07/2016,3.373775283
03/02/2017,1.478397441
09/07/2016,2.785786284
02/02/2017,0.478900627
19/06/2016,2.548733984
23/01/2017,0.401354333
12/06/2016,3.363650196
01/02/2017,0.964764552
04/06/2016,2.517207254
14/02/2017,1.902649687
24/11/2017,1.028930335
25/06/2016,2.713742896
16/02/2017,0.688604754
19/11/2017,4.172469827
09/06/2016,1.030832051
24/01/2017,0.540792833
17/11/2017,2.169052998
27/05/2016,1.896530273
28/05/2017,2.393285842
27/10/2017,1.891112177
16/06/2016,0.837894338
20/01/2017,1.011018977
29/10/2017,3.929180681
21/08/2016,2.64121674
08/02/2017,0.830372285
25/11/2017,2.081580595
03/06/2016,1.362506945
11/02/2017,2.523342979
26/11/2017,2.464409361
02/06/2016,0.741073191
15/02/2017,1.095630652
17/10/2017,0.356009991
29/05/2016,3.063443316
04/03/2017,2.430233929
26/10/2017,0.325647777
08/06/2016,1.232697716
05/03/2017,2.749836353
16/10/2017,0.303192525
30/05/2016,0.680420526
13/02/2017,0.541601796
24/10/2017,0.369977653
31/05/2016,0.992292133
22/02/2017,0.843005811
01/11/2017,2.543785608
01/06/2016,1.255410661
12/02/2017,2.787338972
16/11/2017,0.928074158
06/06/2016,0.446300717
02/03/2017,0.636687586
02/11/2017,4.11608379
07/06/2016,0.710577237
26/02/2017,2.050709517
30/11/2017,0.33310459
21/06/2016,0.779384773
17/02/2017,1.20347066
03/11/2017,3.438854412
15/06/2016,1.624255455
18/02/2017,2.105226457
07/11/2017,1.570795386
13/06/2016,0.686213746
19/02/2017,2.533295183
23/10/2017,0.344384407
14/06/2016,1.118901391
24/02/2017,1.138257791
25/10/2017,0.498211361
23/07/2016,2.476103445
23/02/2017,0.622971094
23/11/2017,0.421464243
24/07/2016,3.299057097
03/03/2017,1.8095439
22/06/2016,1.056242627
28/02/2017,0.6609206
17/06/2016,1.521983593
20/02/2017,0.50455585
06/08/2016,4.020296681
01/03/2017,0.703743456
16/12/2017,1.793775642
20/06/2016,0.585771837
21/02/2017,0.636126531
17/12/2017,2.37536796
23/06/2016,1.161789486
27/02/2017,0.521335312
08/11/2017,1.864240247
28/07/2016,1.080501736
17/03/2017,2.516509197
24/06/2016,2.015963244
19/03/2017,4.208664404
30/06/2016,0.774031916
08/03/2017,0.923849935
29/06/2016,1.440337029
10/03/2017,1.376128841
27/06/2016,0.766692532
22/03/2017,1.214336209
09/11/2017,1.118268573
28/06/2016,1.124234676
18/03/2017,3.356480434
01/12/2017,1.164376211
20/08/2016,2.247541996
16/03/2017,0.625848132
02/12/2017,1.716591423
07/08/2016,4.604749728
11/03/2017,2.534022597
10/12/2017,1.647242404
16/01/2016,1.608265385
01/07/2016,2.157848206
06/03/2017,0.609460105
10/11/2017,1.903996872
04/07/2016,1.083183058
07/03/2017,0.720118436
03/12/2017,2.263682115
05/07/2016,1.486385952
06/04/2017,0.629354727
09/12/2017,1.397351076
06/07/2016,1.961051608
21/03/2017,0.960657759
12/11/2017,4.097141657
07/07/2016,0.901463185
20/03/2017,3.671271484
30/10/2017,1.168685244
08/07/2016,1.741780187
23/03/2017,0.571122427
31/10/2017,1.395132951
13/07/2016,1.819659201
14/03/2017,0.663853091
11/11/2017,3.497784768
11/07/2016,0.900155143
27/04/2017,0.467800218
08/12/2017,0.582565342
12/07/2016,1.313930012
28/04/2017,1.999033733
13/11/2017,0.87227201
22/07/2016,1.823472418
16/05/2017,0.821936887
15/11/2017,1.398466662
16/07/2016,3.21020489
11/04/2017,1.392539702
14/11/2017,1.039022803
15/07/2016,2.679557679
07/04/2017,1.390145432
21/11/2017,0.874963117
14/07/2016,0.966659744
08/04/2017,2.257950872
20/11/2017,3.535179743
20/07/2016,2.646083566
09/04/2017,2.919937166
22/11/2017,0.978879002
17/07/2016,4.105146478
10/04/2017,1.15583643
04/08/2016,1.539203418
29/03/2017,0.925383051
13/12/2017,0.977525293
05/08/2016,4.122392398
13/04/2017,4.047047918
14/12/2017,0.954006646
27/07/2016,2.090756455
12/04/2017,2.587613145
15/12/2017,1.097630226
01/08/2016,1.439988001
03/04/2017,0.700367339
18/12/2017,0.715078726
19/07/2016,1.99936319
27/03/2017,0.484775396
19/12/2017,0.860170182
18/07/2016,1.459230233
04/04/2017,0.905194853
20/12/2017,1.092959116
26/07/2016,1.520698385
02/04/2017,3.705489321
29/11/2017,0.527868994
08/08/2016,1.7570037
24/03/2017,1.454810293
28/11/2017,0.399707049
09/08/2016,2.029999408
18/04/2017,1.991919424
21/12/2017,1.092205606
11/08/2016,1.317854136
14/04/2017,3.946136288
27/11/2017,0.311037511
02/08/2016,1.856825839
05/05/2017,2.504443251
04/12/2017,0.370466945
10/08/2016,2.541417434
12/05/2017,1.593299567
05/12/2017,0.431964455
21/07/2016,1.25056993
05/04/2017,1.168998391
06/12/2017,0.522737949
25/08/2016,0.427958782
29/04/2017,2.629568322
07/12/2017,0.134765091
25/07/2016,1.094201919
15/04/2017,3.555198319
12/12/2017,0.673446481
30/07/2016,3.254854437
30/04/2017,4.172303467
11/12/2017,0.266710896
31/07/2016,4.11417555
26/03/2017,3.480672588
16/08/2016,1.228864927
28/03/2017,0.617109373
29/07/2016,2.59155684
16/04/2017,3.794129501
03/08/2016,2.499064298
17/04/2017,1.89165366
13/08/2016,2.812420091
19/04/2017,2.62080673
22/12/2017,1.205538735
18/08/2016,0.838549989
31/03/2017,2.332753869
27/12/2017,2.50490971
12/08/2016,1.919187765
01/04/2017,3.190355935
23/12/2017,1.508635701
22/08/2016,0.44725973
30/03/2017,0.534725609
25/12/2017,2.938044241
24/08/2016,0.834619342
24/04/2017,0.389666772
26/12/2017,2.312118784
15/08/2016,0.94785135
09/05/2017,0.936718321
10/01/2016,2.011941262
14/08/2016,3.359951147
25/04/2017,0.543066411
23/08/2016,0.620443084
26/04/2017,0.768300673
24/12/2017,0.131643407
17/08/2016,1.718698642
01/05/2017,3.064392543
27/08/2016,1.758217144
02/05/2017,0.653969388
26/08/2016,1.026063082
25/05/2017,0.518158174
28/12/2017,1.982906661
19/08/2016,1.548314039
15/05/2017,1.477115495
29/12/2017,2.030273411
28/08/2016,2.221612769
08/06/2017,0.500879635
29/08/2016,0.309876257
24/05/2017,0.722897616
30/12/2017,2.216967755
31/08/2016,0.779890375
14/05/2017,3.121274396
31/12/2017,0.362768747
02/01/2016,2.051443455
07/09/2016,0.559532725
19/05/2017,1.157747932
03/09/2016,1.732238989
17/05/2017,0.995358364
24/01/2016,2.037185479
01/09/2016,0.381795691
03/05/2017,0.75674359
30/08/2016,0.546612148
21/04/2017,1.780979019
09/01/2016,1.650276016
29/09/2016,0.605258715
26/05/2017,1.626682345
01/10/2016,2.316212529
20/04/2017,1.475752001
17/01/2016,2.054819571
02/10/2016,2.827614246
29/05/2017,0.620632277
26/09/2016,0.353025308
20/05/2017,1.852516805
25/09/2016,2.586187673
11/05/2017,0.640063703
12/09/2016,0.153674605
04/05/2017,0.452795256
22/09/2016,0.469127831
21/05/2017,2.129162633
30/09/2016,1.556070952
23/05/2017,0.649027536
03/01/2016,2.097130302
13/09/2016,0.310505813
22/05/2017,0.432532034
08/09/2016,0.234391513
08/05/2017,0.755826983
09/09/2016,0.736480368
10/05/2017,2.186908902
30/10/2016,2.372291943
02/06/2017,1.995253135
23/01/2016,1.839945257
31/10/2016,0.568711848
18/05/2017,0.436567064
05/09/2016,0.231185018
05/06/2017,0.805278118
06/10/2016,0.424426092
04/06/2017,3.414895402
05/10/2016,0.836410151
03/06/2017,2.800040998
08/10/2016,2.157049028
27/05/2017,2.265929598
01/01/2016,2.08225908
06/09/2016,0.329780665
01/06/2017,0.539719652
07/01/2016,0.373011265
17/09/2016,2.151856007
31/05/2017,1.024402751
04/01/2016,0.678215449
18/09/2016,2.358510212
30/05/2017,0.774681044
06/01/2016,0.820632108
11/09/2016,1.887931777
07/06/2017,1.147140076
05/01/2016,0.736245508
02/09/2016,0.800222098
06/06/2017,0.982176831
11/01/2016,0.218342728
27/09/2016,0.568095339
10/06/2017,2.58120994
12/01/2016,0.411420705
28/09/2016,0.754949519
09/06/2017,1.504349501
14/01/2016,0.346586222
22/10/2016,2.038774048
14/06/2017,1.100138664
13/01/2016,0.657763034
28/10/2016,1.361717553
11/06/2017,2.859640054
08/01/2016,1.00343821
29/10/2016,1.803473414
17/06/2017,3.001404323
15/01/2016,1.019532662
10/09/2016,1.452846601
18/06/2017,3.364103607
28/01/2016,0.466338865
14/09/2016,0.452025436
12/06/2017,0.634978325
30/01/2016,2.182749918
16/09/2016,2.632076761
15/06/2017,0.534549464
31/01/2016,3.115004931
26/10/2016,0.523833964
13/06/2017,0.832515385
05/02/2016,1.231347269
09/10/2016,2.59574192
16/06/2017,2.011908643
22/01/2016,1.248126731
23/09/2016,1.071531379
19/06/2017,0.985298516
21/01/2016,0.549577259
03/10/2016,0.415958075
20/06/2017,1.122469962
18/01/2016,0.222726787
04/09/2016,2.124863385
21/06/2017,1.310684374
20/01/2016,0.647686876
15/09/2016,0.154141063
22/06/2017,0.664110785
29/01/2016,1.834259681
19/09/2016,0.42673229
05/07/2017,2.041859851
25/01/2016,0.299415189
24/09/2016,2.035055427
23/06/2017,1.328161892
19/01/2016,0.396428791
07/10/2016,1.178350397
07/07/2017,2.254202894
26/01/2016,0.475625631
20/09/2016,0.575910967
08/07/2017,3.323244443
06/02/2016,1.701195028
27/10/2016,0.362817676
06/07/2017,1.739539229
01/02/2016,2.431822498
21/10/2016,1.127346574
09/07/2017,3.880815775
03/02/2016,0.827456104
25/10/2016,0.442702788
01/07/2017,3.758955914
02/02/2016,0.472422398
23/10/2016,2.425791156
26/06/2017,0.571996629
27/01/2016,0.707964417
12/10/2016,0.983670803
27/06/2017,0.791339813
11/02/2016,0.574041871
13/10/2016,0.407183434
29/06/2017,1.53487155
04/02/2016,0.486866305
10/10/2016,0.373223291
10/07/2017,1.09018646
03/03/2016,0.526459832
13/05/2017,2.351108851
02/07/2017,4.457971844
27/02/2016,2.176451096
21/09/2016,0.837085375
11/07/2017,1.261477885
10/02/2016,0.501848433
11/10/2016,0.590971382
12/07/2017,1.615428623
07/02/2016,1.528644491
20/10/2016,0.288119062
13/07/2017,0.731969094
02/03/2016,0.890998855
16/10/2016,2.281058514
24/06/2017,2.305956964
21/05/2016,2.859509576
04/10/2016,0.613113487
25/06/2017,2.979872203
08/02/2016,0.37251871
14/10/2016,0.959343194
28/06/2017,0.996346734
16/04/2016,2.687438546
25/03/2017,2.730121138
03/07/2017,1.123755169
12/03/2016,2.295398038
18/10/2016,0.445175345
30/06/2017,2.779109076
03/07/2016,4.146596053
13/03/2017,0.470103153
14/07/2017,1.410946876
02/07/2016,3.348250538
15/10/2016,1.79275139
04/07/2017,1.353526801
22/02/2016,0.600284244
24/10/2016,0.308369237
16/07/2017,3.128891045
20/02/2016,2.561475154
17/10/2016,0.298521415
25/08/2017,1.208027602
13/02/2016,2.53010826
19/10/2016,0.638393585
26/08/2017,1.70749385
12/02/2016,2.18680452
07/01/2017,2.268692468
27/08/2017,2.351483975
05/03/2016,1.663636956
21/01/2017,1.934075296
21/07/2017,1.523324254
09/02/2016,0.469183284
25/02/2017,1.748392156
22/07/2017,2.179452089
21/02/2016,3.043839007
22/04/2017,2.360698979
20/07/2017,1.223055397
14/02/2016,3.587556845
02/11/2016,1.994626841
23/07/2017,2.813369318
28/02/2016,2.458306256
10/12/2016,1.544937923
13/09/2017,0.949651946
26/02/2016,1.922697621
01/11/2016,0.992543303
12/08/2017,2.2328828
25/02/2016,0.730524051
18/11/2016,1.421342705
24/09/2017,2.287239905
30/04/2016,4.636977776
03/11/2016,0.371008428
26/07/2017,1.546849424
17/02/2016,1.069851475
09/03/2017,0.417856529
17/09/2017,3.586255328
18/02/2016,0.638997046
17/11/2016,0.328273645
13/08/2017,2.793520363
19/02/2016,1.964267889
17/12/2016,1.779762312
03/09/2017,2.24235876
24/02/2016,0.924472967
23/04/2017,2.745765442
12/10/2017,0.347616998
23/02/2016,0.658960169
18/12/2016,2.663903589
23/09/2017,2.037368149
29/02/2016,0.516109671
06/05/2017,2.028427148
10/08/2017,1.080208161
01/03/2016,0.595645754
04/02/2017,2.416393483
19/10/2017,0.257897112
22/05/2016,3.613828576
19/11/2016,1.879450712
14/09/2017,1.883221524
15/02/2016,0.91575378
14/11/2016,0.264163315
07/09/2017,0.240331521
16/02/2016,0.876280944
12/11/2016,2.034230154
27/07/2017,1.36206332
16/03/2016,1.000949343
13/11/2016,2.409634726
30/07/2017,3.080336946
26/03/2016,3.126072722
10/11/2016,0.257538298
24/08/2017,0.545176891
10/04/2016,2.789283093
15/11/2016,0.400953113
15/09/2017,1.33460424
06/04/2016,0.757024118
16/11/2016,0.685512427
02/09/2017,1.936440209
13/03/2016,2.549024297
11/11/2016,0.837617072
21/09/2017,0.476366094
02/04/2016,2.340670617
06/11/2016,2.659711986
08/10/2017,2.008499907
20/03/2016,2.47450509
20/11/2016,2.685758642
22/10/2017,2.198116956
04/04/2016,0.75778089
21/11/2016,2.060537767
14/10/2017,1.608878631
30/03/2016,2.208180067
23/11/2016,0.569312046
22/09/2017,1.21591173
28/03/2016,1.293696147
07/05/2017,3.400259041
16/09/2017,3.348341873
24/03/2016,3.50044978
05/02/2017,2.76466517
25/07/2017,1.216270545
07/04/2016,0.284729898
04/11/2016,1.088369555
28/07/2017,1.675043989
11/03/2016,1.771264937
09/11/2016,0.626474427
29/07/2017,2.277656302
29/03/2016,1.528595562
08/11/2016,0.431034799
15/07/2017,2.297694449
17/03/2016,0.857006092
07/11/2016,0.273636012
28/09/2017,0.491808157
14/03/2016,0.568672704
12/03/2017,2.936374123
15/10/2017,2.092299356
19/03/2016,1.690296859
22/11/2016,0.432013384
10/09/2017,1.829924552
18/03/2016,1.108257653
05/11/2016,2.151820125
30/09/2017,1.933002115
15/03/2016,0.731065534
24/11/2016,0.236942357
01/10/2017,2.32120331
25/03/2016,3.374417887
04/12/2016,2.372507232
20/10/2017,0.876930072
09/03/2016,0.578983722
25/11/2016,1.036116407
05/10/2017,0.287071977
06/03/2016,2.181021086
14/12/2016,1.014926791
09/09/2017,1.608327362
04/03/2016,1.267140627
28/11/2016,0.198089292
11/08/2017,1.478371345
17/04/2016,3.272221049
29/11/2016,0.379101322
07/10/2017,1.618481807
29/04/2016,3.790596811
27/11/2016,1.817688984
24/07/2017,0.941020831
23/03/2016,2.199235805
31/01/2017,0.761802872
31/08/2017,0.425535155
18/04/2016,0.454018486
08/12/2016,0.311298466
13/10/2017,0.951586281
08/03/2016,0.458304686
30/11/2016,0.534604917
21/10/2017,1.759495828
05/04/2016,0.468788588
09/12/2016,0.757960297
18/07/2017,1.123125613
07/03/2016,0.339204433
01/12/2016,0.161832737
29/09/2017,1.212731331
10/03/2016,0.500478415
26/11/2016,1.574641223
19/07/2017,1.486372904
27/03/2016,3.190140647
20/12/2016,1.12777389
17/07/2017,0.887648834
01/04/2016,1.693620784
15/12/2016,0.868798035
01/09/2017,0.927898013
20/04/2016,1.003147896
16/12/2016,1.155033991
08/09/2017,0.721309047
19/04/2016,0.659752822
28/12/2016,2.73794329
06/10/2017,0.795857611
22/03/2016,1.101534778
19/12/2016,0.913392129
05/08/2017,2.127678447
21/04/2016,0.514755962
25/01/2017,0.735583332
06/08/2017,2.831179556
21/03/2016,1.627700073
03/12/2016,1.863401926
04/08/2017,1.503070817
08/04/2016,1.066002376
07/12/2016,0.74482117
31/07/2017,1.132741837
15/04/2016,1.480759091
27/12/2016,2.340275921
01/08/2017,1.362842926
01/05/2016,4.661324957
05/01/2017,0.834987942
03/08/2017,1.110779139
14/04/2016,0.288543116
11/12/2016,2.133589097
02/08/2017,1.678635394
13/04/2016,0.69241471
12/12/2016,0.686406201
04/11/2017,4.415015248
09/04/2016,1.947713502
05/12/2016,0.382284983
28/10/2017,2.833443348
11/04/2016,0.224957959
02/12/2016,1.044737736
19/08/2017,2.647297011
