Fecha,Día,Nombre,Tipo
01/01/2016,Viernes,Año Nuevo,Descanso obligatorio
01/02/2016,Sábado,Vacaciones de invierno,Vacaciones escolares
01/03/2016,Domingo,Vacaciones de invierno,Vacaciones escolares
01/04/2016,Lunes,Vacaciones de invierno,Vacaciones escolares
01/05/2016,Martes,Vacaciones de invierno,Vacaciones escolares
01/06/2016,Miércoles,Vacaciones de invierno,Vacaciones escolares
02/01/2016,Lunes,Día de la Constitución Méxicana,Descanso obligatorio
03/21/2016,Lunes,Natalicio de Benito Juárez,Descanso obligatorio
03/22/2016,Martes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/23/2016,Miércoles,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/24/2016,Jueves,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/25/2016,Viernes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/26/2016,Sábado,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/27/2016,Domingo,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/28/2016,Lunes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/29/2016,Martes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/30/2016,Miércoles,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/31/2016,Jueves,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/01/2016,Viernes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/02/2016,Sábado,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/03/2016,Domingo,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/04/2016,Lunes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
05/01/2016,Domingo,Día del trabajo,Descanso obligatorio
05/05/2016,Jueves,Batalla de Puebla,Vacaciones escolares
05/10/2016,Martes,Día de la Madre,No obligatorio
05/15/2016,Domingo,Día del Maestro,No obligatorio
07/15/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
07/16/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
07/17/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
07/18/2016,Lunes,Vacaciones de Verano,Vacaciones escolares
07/19/2016,Martes,Vacaciones de Verano,Vacaciones escolares
07/20/2016,Miércoles,Vacaciones de Verano,Vacaciones escolares
07/21/2016,Jueves,Vacaciones de Verano,Vacaciones escolares
07/22/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
07/23/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
07/24/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
07/25/2016,Lunes,Vacaciones de Verano,Vacaciones escolares
07/26/2016,Martes,Vacaciones de Verano,Vacaciones escolares
07/27/2016,Miércoles,Vacaciones de Verano,Vacaciones escolares
07/28/2016,Jueves,Vacaciones de Verano,Vacaciones escolares
07/29/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
07/30/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
07/31/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
08/01/2016,Lunes,Vacaciones de Verano,Vacaciones escolares
08/02/2016,Martes,Vacaciones de Verano,Vacaciones escolares
08/03/2016,Miércoles,Vacaciones de Verano,Vacaciones escolares
08/04/2016,Jueves,Vacaciones de Verano,Vacaciones escolares
08/05/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
08/06/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
08/07/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
08/08/2016,Lunes,Vacaciones de Verano,Vacaciones escolares
08/09/2016,Martes,Vacaciones de Verano,Vacaciones escolares
08/10/2016,Miércoles,Vacaciones de Verano,Vacaciones escolares
08/11/2016,Jueves,Vacaciones de Verano,Vacaciones escolares
08/12/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
08/13/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
08/14/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
08/15/2016,Lunes,Vacaciones de Verano,Vacaciones escolares
08/16/2016,Martes,Vacaciones de Verano,Vacaciones escolares
08/17/2016,Miércoles,Vacaciones de Verano,Vacaciones escolares
08/18/2016,Jueves,Vacaciones de Verano,Vacaciones escolares
08/19/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
08/20/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
08/21/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
09/16/2016,Viernes,Día de la Independencia,Descanso obligatorio
11/02/2016,Miércoles,Día de Muertos,No obligatorio
11/21/2016,Lunes,Día de la Revolución Mexicana,Descanso obligatorio
12/19/2016,Lunes,Vacaciones de invierno,Vacaciones escolares
12/20/2016,Martes,Vacaciones de invierno,Vacaciones escolares
12/21/2016,Miércoles,Vacaciones de invierno,Vacaciones escolares
12/22/2016,Jueves,Vacaciones de invierno,Vacaciones escolares
12/23/2016,Viernes,Vacaciones de invierno,Vacaciones escolares
12/24/2016,Sábado,Vacaciones de invierno,Vacaciones escolares
12/25/2016,Domingo,Navidad,Descanso obligatorio
12/26/2016,Lunes,Vacaciones de invierno,Vacaciones escolares
12/27/2016,Martes,Vacaciones de invierno,Vacaciones escolares
12/28/2016,Miércoles,Vacaciones de invierno,Vacaciones escolares
12/29/2016,Jueves,Vacaciones de invierno,Vacaciones escolares
12/30/2016,Viernes,Vacaciones de invierno,Vacaciones escolares
12/31/2016,Sábado,Vacaciones de invierno,Vacaciones escolares
01/01/2017,Domingo,Año Nuevo,Descanso obligatorio
01/06/2017,Viernes,Día de los Reyes Magos ,No obligatorio
02/06/2017,Lunes,Día de la Constitución Méxicana,Descanso obligatorio
03/20/2017,Lunes,Natalicio de Benito Juárez,Descanso obligatorio
04/10/2017,Lunes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/11/2017,Martes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/12/2017,Miércoles,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/13/2017,Jueves,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/14/2017,Viernes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/15/2017,Sábado,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/16/2017,Domingo,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/17/2017,Lunes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/18/2017,Martes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/19/2017,Miércoles,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/20/2017,Jueves,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/21/2017,Viernes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/22/2017,Sábado,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/23/2017,Domingo,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
05/01/2017,Lunes,Día del trabajo,Descanso obligatorio
05/05/2017,Viernes,Batalla de Puebla,Vacaciones escolares
05/10/2017,Miércoles,Día de la Madre,No obligatorio
05/15/2017,Lunes,Día del Maestro,No obligatorio
07/18/2017,Martes,Vacaciones de Verano,Vacaciones escolares
07/19/2017,Miércoles,Vacaciones de Verano,Vacaciones escolares
07/20/2017,Jueves,Vacaciones de Verano,Vacaciones escolares
07/21/2017,Viernes,Vacaciones de Verano,Vacaciones escolares
07/22/2017,Sábado,Vacaciones de Verano,Vacaciones escolares
07/23/2017,Domingo,Vacaciones de Verano,Vacaciones escolares
07/24/2017,Lunes,Vacaciones de Verano,Vacaciones escolares
07/25/2017,Martes,Vacaciones de Verano,Vacaciones escolares
07/26/2017,Miércoles,Vacaciones de Verano,Vacaciones escolares
07/27/2017,Jueves,Vacaciones de Verano,Vacaciones escolares
07/28/2017,Viernes,Vacaciones de Verano,Vacaciones escolares
07/29/2017,Sábado,Vacaciones de Verano,Vacaciones escolares
07/30/2017,Domingo,Vacaciones de Verano,Vacaciones escolares
07/31/2017,Lunes,Vacaciones de Verano,Vacaciones escolares
08/01/2017,Martes,Vacaciones de Verano,Vacaciones escolares
08/02/2017,Miércoles,Vacaciones de Verano,Vacaciones escolares
08/03/2017,Jueves,Vacaciones de Verano,Vacaciones escolares
08/04/2017,Viernes,Vacaciones de Verano,Vacaciones escolares
08/05/2017,Sábado,Vacaciones de Verano,Vacaciones escolares
08/06/2017,Domingo,Vacaciones de Verano,Vacaciones escolares
08/07/2017,Lunes,Vacaciones de Verano,Vacaciones escolares
08/08/2017,Martes,Vacaciones de Verano,Vacaciones escolares
08/09/2017,Miércoles,Vacaciones de Verano,Vacaciones escolares
08/10/2017,Jueves,Vacaciones de Verano,Vacaciones escolares
08/11/2017,Viernes,Vacaciones de Verano,Vacaciones escolares
08/12/2017,Sábado,Vacaciones de Verano,Vacaciones escolares
08/13/2017,Domingo,Vacaciones de Verano,Vacaciones escolares
08/14/2017,Lunes,Vacaciones de Verano,Vacaciones escolares
08/15/2017,Martes,Vacaciones de Verano,Vacaciones escolares
08/16/2017,Miércoles,Vacaciones de Verano,Vacaciones escolares
08/17/2017,Jueves,Vacaciones de Verano,Vacaciones escolares
08/18/2017,Viernes,Vacaciones de Verano,Vacaciones escolares
08/19/2017,Sábado,Vacaciones de Verano,Vacaciones escolares
08/20/2017,Domingo,Vacaciones de Verano,Vacaciones escolares
11/02/2017,Jueves,Día de Muertos,No obligatorio
11/21/2017,Martes,Día de la Revolución Mexicana,Descanso obligatorio
12/21/2017,Jueves,Vacaciones de invierno,Vacaciones escolares
12/22/2017,Viernes,Vacaciones de invierno,Vacaciones escolares
12/23/2017,Sábado,Vacaciones de invierno,Vacaciones escolares
12/24/2017,Domingo,Vacaciones de invierno,Vacaciones escolares
12/25/2017,Lunes,Navidad,Descanso obligatorio
12/26/2017,Martes,Vacaciones de invierno,Vacaciones escolares
12/27/2017,Miércoles,Vacaciones de invierno,Vacaciones escolares
12/28/2017,Jueves,Vacaciones de invierno,Vacaciones escolares
12/29/2017,Viernes,Vacaciones de invierno,Vacaciones escolares
12/30/2017,Sábado,Vacaciones de invierno,Vacaciones escolares
12/31/2017,Domingo,Vacaciones de invierno,Vacaciones escolares
01/01/2018,Lunes,Año Nuevo,Descanso obligatorio
01/02/2018,Martes,Vacaciones de invierno,Vacaciones escolares
01/03/2018,Miércoles,Vacaciones de invierno,Vacaciones escolares
01/04/2018,Jueves,Vacaciones de invierno,Vacaciones escolares
01/05/2018,Viernes,Vacaciones de invierno,Vacaciones escolares
01/06/2018,Sábado,Vacaciones de invierno,Vacaciones escolares
01/07/2018,Domingo,Vacaciones de invierno,Vacaciones escolares
